prd_id,cat_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt,dwh_create_date
478,AC_BC,BC-M005,Mountain Bottle Cage,4,Mountain,2013-07-01,,2024-12-30 14:06:36.9700000
479,AC_BC,BC-R205,Road Bottle Cage,3,Road,2013-07-01,,2024-12-30 14:06:36.9700000
477,AC_BC,WB-H098,Water Bottle - 30 oz.,2,Other Sales,2013-07-01,,2024-12-30 14:06:36.9700000
483,AC_BR,RA-H123,Hitch Rack - 4-Bike,45,Other Sales,2013-07-01,,2024-12-30 14:06:36.9700000
486,AC_BS,ST-1401,All-Purpose Bike Stand,59,Mountain,2013-07-01,,2024-12-30 14:06:36.9700000
484,AC_CL,CL-9009,Bike Wash - Dissolver,3,Other Sales,2013-07-01,,2024-12-30 14:06:36.9700000
485,AC_FE,FE-6654,Fender Set - Mountain,8,Mountain,2013-07-01,,2024-12-30 14:06:36.9700000
215,AC_HE,HL-U509,Sport-100 Helmet- Black,12,Other Sales,2011-07-01,2012-06-30,2024-12-30 14:06:36.9700000
216,AC_HE,HL-U509,Sport-100 Helmet- Black,14,Other Sales,2012-07-01,2013-06-30,2024-12-30 14:06:36.9700000
217,AC_HE,HL-U509,Sport-100 Helmet- Black,13,Other Sales,2013-07-01,,2024-12-30 14:06:36.9700000
220,AC_HE,HL-U509-B,Sport-100 Helmet- Blue,12,Other Sales,2011-07-01,2012-06-30,2024-12-30 14:06:36.9700000
221,AC_HE,HL-U509-B,Sport-100 Helmet- Blue,14,Other Sales,2012-07-01,2013-06-30,2024-12-30 14:06:36.9700000
222,AC_HE,HL-U509-B,Sport-100 Helmet- Blue,13,Other Sales,2013-07-01,,2024-12-30 14:06:36.9700000
212,AC_HE,HL-U509-R,Sport-100 Helmet- Red,12,Other Sales,2011-07-01,2012-06-30,2024-12-30 14:06:36.9700000
213,AC_HE,HL-U509-R,Sport-100 Helmet- Red,14,Other Sales,2012-07-01,2013-06-30,2024-12-30 14:06:36.9700000
214,AC_HE,HL-U509-R,Sport-100 Helmet- Red,13,Other Sales,2013-07-01,,2024-12-30 14:06:36.9700000
487,AC_HP,HY-1023-70,Hydration Pack - 70 oz.,21,Other Sales,2013-07-01,,2024-12-30 14:06:36.9700000
451,AC_LI,LT-H902,Headlights - Dual-Beam,14,Road,2012-07-01,,2024-12-30 14:06:36.9700000
452,AC_LI,LT-H903,Headlights - Weatherproof,19,Road,2012-07-01,,2024-12-30 14:06:36.9700000
450,AC_LI,LT-T990,Taillights - Battery-Powered,6,Road,2012-07-01,,2024-12-30 14:06:36.9700000
447,AC_LO,LO-C100,Cable Lock,10,Other Sales,2012-07-01,,2024-12-30 14:06:36.9700000
446,AC_PA,PA-T100,Touring-Panniers- Large,52,Touring,2012-07-01,,2024-12-30 14:06:36.9700000
448,AC_PU,PU-0452,Minipump,8,Other Sales,2012-07-01,,2024-12-30 14:06:36.9700000
449,AC_PU,PU-M044,Mountain Pump,10,Mountain,2012-07-01,,2024-12-30 14:06:36.9700000
480,AC_TT,PK-7098,Patch Kit/8 Patches,1,Other Sales,2013-07-01,,2024-12-30 14:06:36.9700000
535,AC_TT,TI-M267,LL Mountain Tire,9,Mountain,2013-07-01,,2024-12-30 14:06:36.9700000
536,AC_TT,TI-M602,ML Mountain Tire,11,Mountain,2013-07-01,,2024-12-30 14:06:36.9700000
537,AC_TT,TI-M823,HL Mountain Tire,13,Mountain,2013-07-01,,2024-12-30 14:06:36.9700000
538,AC_TT,TI-R092,LL Road Tire,8,Road,2013-07-01,,2024-12-30 14:06:36.9700000
539,AC_TT,TI-R628,ML Road Tire,9,Road,2013-07-01,,2024-12-30 14:06:36.9700000
540,AC_TT,TI-R982,HL Road Tire,12,Road,2013-07-01,,2024-12-30 14:06:36.9700000
541,AC_TT,TI-T723,Touring Tire,11,Touring,2013-07-01,,2024-12-30 14:06:36.9700000
528,AC_TT,TT-M928,Mountain Tire Tube,2,Mountain,2013-07-01,,2024-12-30 14:06:36.9700000
529,AC_TT,TT-R982,Road Tire Tube,1,Road,2013-07-01,,2024-12-30 14:06:36.9700000
530,AC_TT,TT-T092,Touring Tire Tube,2,Touring,2013-07-01,,2024-12-30 14:06:36.9700000
596,BI_MB,BK-M18B-40,Mountain-500 Black- 40,295,Mountain,2013-07-01,,2024-12-30 14:06:36.9700000
597,BI_MB,BK-M18B-42,Mountain-500 Black- 42,295,Mountain,2013-07-01,,2024-12-30 14:06:36.9700000
598,BI_MB,BK-M18B-44,Mountain-500 Black- 44,295,Mountain,2013-07-01,,2024-12-30 14:06:36.9700000
599,BI_MB,BK-M18B-48,Mountain-500 Black- 48,295,Mountain,2013-07-01,,2024-12-30 14:06:36.9700000
600,BI_MB,BK-M18B-52,Mountain-500 Black- 52,295,Mountain,2013-07-01,,2024-12-30 14:06:36.9700000
591,BI_MB,BK-M18S-40,Mountain-500 Silver- 40,308,Mountain,2013-07-01,,2024-12-30 14:06:36.9700000
592,BI_MB,BK-M18S-42,Mountain-500 Silver- 42,308,Mountain,2013-07-01,,2024-12-30 14:06:36.9700000
593,BI_MB,BK-M18S-44,Mountain-500 Silver- 44,308,Mountain,2013-07-01,,2024-12-30 14:06:36.9700000
594,BI_MB,BK-M18S-48,Mountain-500 Silver- 48,308,Mountain,2013-07-01,,2024-12-30 14:06:36.9700000
595,BI_MB,BK-M18S-52,Mountain-500 Silver- 52,308,Mountain,2013-07-01,,2024-12-30 14:06:36.9700000
587,BI_MB,BK-M38S-38,Mountain-400-W Silver- 38,420,Mountain,2013-07-01,,2024-12-30 14:06:36.9700000
588,BI_MB,BK-M38S-40,Mountain-400-W Silver- 40,420,Mountain,2013-07-01,,2024-12-30 14:06:36.9700000
